,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
281,0.5099,0.4929,0.5439,0.5256,0.4844,0.4731,0.5042,0.5269,0.5326
282,0.5029,0.5,0.5,0.5,0.4897,0.4735,0.4971,0.5059,0.5
283,0.4925,0.5225,0.5075,0.5195,0.5,0.5015,0.4955,0.5045,0.4925
284,0.4986,0.5014,0.521,0.5266,0.4762,0.4706,0.4986,0.5294,0.5378
285,0.4928,0.4957,0.513,0.5187,0.4841,0.4841,0.5187,0.513,0.5159
286,0.479,0.485,0.512,0.5,0.482,0.476,0.506,0.506,0.506
287,0.5108,0.4985,0.5046,0.5062,0.4675,0.4551,0.483,0.5046,0.5046
288,0.509,0.503,0.479,0.5389,0.485,0.479,0.521,0.515,0.512
289,0.5,0.462,0.481,0.5143,0.4715,0.4494,0.4842,0.4937,0.5032
290,0.4941,0.4853,0.5382,0.5147,0.4706,0.4588,0.4882,0.5235,0.5294
291,0.4985,0.4685,0.5135,0.4925,0.4595,0.4655,0.4655,0.512,0.5105
292,0.4701,0.4731,0.485,0.488,0.4581,0.4461,0.509,0.485,0.476
293,0.4886,0.5099,0.5241,0.5156,0.4986,0.4674,0.5156,0.5284,0.5269
294,0.4763,0.4467,0.497,0.4911,0.4527,0.4467,0.4675,0.5089,0.5148
295,0.5,0.497,0.5183,0.5396,0.503,0.4878,0.5396,0.5305,0.5396
296,0.5014,0.4815,0.5071,0.5385,0.4815,0.4686,0.4971,0.5299,0.5229
297,0.52,0.5114,0.5486,0.56,0.4971,0.4886,0.5371,0.5543,0.5657
298,0.4853,0.4912,0.5118,0.4971,0.4529,0.4588,0.4971,0.5088,0.5118
299,0.5015,0.4683,0.5287,0.5076,0.4864,0.4743,0.4955,0.5166,0.5287
