,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
357,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
358,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
359,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
360,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
361,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
362,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
363,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
364,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
365,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
366,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
367,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
368,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
369,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
370,0.9988,0.9988,0.9987,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
371,0.9995,0.9995,0.9995,0.9995,0.9994,0.9994,0.9995,0.9995,0.9995
372,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
373,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
374,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
375,0.9988,0.9988,0.9987,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
376,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
377,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
378,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
379,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
380,0.999,0.999,0.9988,0.999,0.9985,0.9985,0.999,0.999,0.999
381,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
382,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
383,0.9988,0.9988,0.9985,0.9988,0.9982,0.9982,0.9988,0.9988,0.9988
384,0.999,0.999,0.999,0.999,0.9986,0.9986,0.999,0.999,0.999
385,0.9988,0.9988,0.9987,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
386,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
387,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
388,0.9988,0.9988,0.9985,0.9988,0.9982,0.9982,0.9988,0.9988,0.9988
389,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
390,0.9993,0.9993,0.9991,0.9993,0.9988,0.9988,0.9993,0.9993,0.9993
391,0.9993,0.9993,0.9991,0.9993,0.9989,0.9989,0.9993,0.9993,0.9993
392,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
393,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
394,0.9993,0.9993,0.9991,0.9993,0.9989,0.9989,0.9993,0.9993,0.9993
395,0.9988,0.9988,0.9985,0.9988,0.9982,0.9982,0.9988,0.9988,0.9988
396,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
397,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
398,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
399,0.9988,0.9988,0.9985,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
400,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
401,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
402,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
403,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
404,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
405,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
406,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
407,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
408,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
409,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
410,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
411,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
412,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
413,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
414,0.9995,0.9995,0.9995,0.9995,0.9994,0.9994,0.9995,0.9995,0.9995
415,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
416,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
417,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
418,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
419,0.9995,0.9995,0.9995,0.9995,0.9994,0.9994,0.9995,0.9995,0.9995
420,0.9993,0.9993,0.9992,0.9993,0.9992,0.9992,0.9993,0.9993,0.9993
421,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
422,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
423,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
424,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995
425,0.9988,0.9988,0.9987,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988
426,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
427,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
428,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
